Seq_ID,Sample_Name,Mite_species,Host_species,Sex,Region,Country,Location,Latitude,Longitude,Collection_year,Bioproviders,Biosample,SRA Run accession,Used for phylgeography
CNV642_1_S25,V642.1,Varroa destructor,Apis cerana,Female,Asia,China,Guangdong,22.614,112.6318,2001,"Ting Zhou, John M. K. Roberts",SAMD00565742,DRR427064,#N/A
CNV642_2_S26,V642.2,Varroa destructor,Apis cerana,Female,Asia,China,Guangdong,22.614,112.6318,2001,"Ting Zhou, John M. K. Roberts",SAMD00565744,DRR427065,#N/A
CNV651_1_S27,V651.1,Varroa destructor,Apis cerana,Female,Asia,China,Yunnan,25.7295,101.3366,2002,"Ting Zhou, John M. K. Roberts",SAMD00565746,DRR427066,#N/A
JP64_1_S91,JP64.1,Varroa destructor,Apis cerana,Female,Asia,Japan,Okinawa,26.4564,127.8239,2019,Maeva Techer,SAMD00565874,DRR427130,#N/A
MMV781_1_S105,V781.1,Varroa destructor,Apis cerana,Female,Asia,Myanmar,Shan State,20.6702,96.6602,2003,"S. Peterson, John M. K. Roberts",SAMD00565902,DRR427144,#N/A
NPV433_1_S127,V433.1,Varroa destructor,Apis cerana,Female,Asia,Nepal,NA,27.619,85.5388,2000,"J. Wilde, John M. K. Roberts",SAMD00565946,DRR427166,#N/A
THV676_2_S182,V676.2,Varroa destructor,Apis cerana,Female,Asia,Thailand,Chiang Mai,18.806,98.9534,2003,"Denis Anderson, John M. K. Roberts",SAMD00566056,DRR427221,#N/A
VNV149_1_S199,V149.1,Varroa destructor,Apis cerana,Female,Asia,Viet Nam,Ninh Binh,21.182,106.0016,1996,"Denis Anderson, John M. K. Roberts",SAMD00566090,DRR427238,#N/A
VNV150_1_S200,V150.1,Varroa destructor,Apis cerana,Female,Asia,Viet Nam,Ninh Binh,20.3226,105.7496,1996,"Denis Anderson, John M. K. Roberts",SAMD00566092,DRR427239,#N/A
BE03_1_S10,BE03.1,Varroa destructor,Apis mellifera,Female,Europe,Belgium,Gembloux,50.5663,4.7032,2016,Gregoire Noel,SAMD00565712,DRR427049,#N/A
BE10_1_S11,BE10.1,Varroa destructor,Apis mellifera,Female,Europe,Belgium,Gembloux,50.5663,4.7032,2016,Gregoire Noel,SAMD00565714,DRR427050,#N/A
BE21_1_S12,BE21.1,Varroa destructor,Apis mellifera,Female,Europe,Belgium,Grez-Doiceau,50.7419,4.7346,2016,Gregoire Noel,SAMD00565716,DRR427051,DWV-B
BE32_1_S13,BE32.1,Varroa destructor,Apis mellifera,Female,Europe,Belgium,Grez-Doiceau,50.5367,4.6617,2016,Gregoire Noel,SAMD00565718,DRR427052,DWV-B
BR01_2_S14,BR01.2,Varroa destructor,Apis mellifera,Female,South America,Brazil,Rio de Janeiro,-22.9068,-43.1729,1989,Lilia I. De Guzman,SAMD00565720,DRR427053,#N/A
BR01_3_S15,BR01.3,Varroa destructor,Apis mellifera,Female,South America,Brazil,Rio de Janeiro,-22.9068,-43.1729,1989,Lilia I. De Guzman,SAMD00565722,DRR427054,#N/A
BRV209_1_S16,V209.1,Varroa destructor,Apis mellifera,Female,South America,Brazil,Sao Paulo,-14.235,-51.9253,1989,"Lilia I. De Guzman, John M. K. Roberts",SAMD00565724,DRR427055,#N/A
BRV209_2_S17,V209.2,Varroa destructor,Apis mellifera,Female,South America,Brazil,Sao Paulo,-14.235,-51.9253,1989,"Lilia I. De Guzman, John M. K. Roberts",SAMD00565726,DRR427056,#N/A
CA033_1_S18,CA033.1,Varroa destructor,Apis mellifera,Female,North America,Canada,British Columbia,49.9019,-125.2905,2016,"Alison McAfee, Leonard Foster, Heather Higo",SAMD00565728,DRR427057,DWV-B
CA087_1_S19,CA087.1,Varroa destructor,Apis mellifera,Female,North America,Canada,Quebec,45.7154,-71.7003,2016,"Alison McAfee, Leonard Foster, Heather Higo",SAMD00565730,DRR427058,#N/A
CAV126_1_S20,V126.1,Varroa destructor,Apis mellifera,Female,North America,Canada,Winnipeg,42.8583,-80.2661,1996,John M. K. Roberts,SAMD00565732,DRR427059,#N/A
CAV220_1_S21,V220.1,Varroa destructor,Apis mellifera,Female,North America,Canada,Winnipeg,49.8908,-97.1537,1997,John M. K. Roberts,SAMD00565734,DRR427060,#N/A
CH01_1_S22,CH01.1,Varroa destructor,Apis mellifera,Female,Europe,Switzerland,Bern,46.9227,7.4449,2017,Viviane Wepfer,SAMD00565736,DRR427061,#N/A
CH02_1_S23,CH02.1,Varroa destructor,Apis mellifera,Female,Europe,Switzerland,Bern,46.9227,7.4449,2017,Viviane Wepfer,SAMD00565738,DRR427062,#N/A
